Date : 2022-11-17 22:55:00
Directory : c:\Users\gasan\.vscode\flutter projects\kids_app
Total : 56 files,  3354 codes, 1075 comments, 413 blanks, all 4842 lines

Languages
+-----------------+------------+------------+------------+------------+------------+
| language        | files      | code       | comment    | blank      | total      |
+-----------------+------------+------------+------------+------------+------------+
| Dart            |         12 |      1,914 |        815 |        156 |      2,885 |
| C++             |         16 |        499 |        107 |        170 |        776 |
| XML             |         10 |        468 |         48 |         12 |        528 |
| JSON            |          4 |        248 |          0 |          4 |        252 |
| Gradle          |          3 |         90 |          6 |         22 |        118 |
| Swift           |          4 |         42 |          3 |         12 |         57 |
| HTML            |          1 |         37 |         16 |          6 |         59 |
| YAML            |          2 |         35 |         80 |         20 |        135 |
| Markdown        |          2 |         13 |          0 |          9 |         22 |
| Java Properties |          2 |          8 |          0 |          2 |         10 |
+-----------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                           | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                              |         56 |      3,354 |      1,075 |        413 |      4,842 |
| android                                                                                                        |         12 |        162 |         52 |         33 |        247 |
| android\app                                                                                                    |          8 |        119 |         52 |         22 |        193 |
| android\app\src                                                                                                |          7 |         64 |         46 |          9 |        119 |
| android\app\src\debug                                                                                          |          1 |          4 |          4 |          1 |          9 |
| android\app\src\main                                                                                           |          5 |         56 |         38 |          7 |        101 |
| android\app\src\main\res                                                                                       |          4 |         26 |         32 |          6 |         64 |
| android\app\src\main\res\drawable                                                                              |          1 |          4 |          7 |          2 |         13 |
| android\app\src\main\res\drawable-v21                                                                          |          1 |          4 |          7 |          2 |         13 |
| android\app\src\main\res\values                                                                                |          1 |          9 |          9 |          1 |         19 |
| android\app\src\main\res\values-night                                                                          |          1 |          9 |          9 |          1 |         19 |
| android\app\src\profile                                                                                        |          1 |          4 |          4 |          1 |          9 |
| android\gradle                                                                                                 |          1 |          5 |          0 |          1 |          6 |
| android\gradle\wrapper                                                                                         |          1 |          5 |          0 |          1 |          6 |
| ios                                                                                                            |          7 |        222 |          2 |          9 |        233 |
| ios\Runner                                                                                                     |          7 |        222 |          2 |          9 |        233 |
| ios\Runner\Assets.xcassets                                                                                     |          3 |        148 |          0 |          4 |        152 |
| ios\Runner\Assets.xcassets\AppIcon.appiconset                                                                  |          1 |        122 |          0 |          1 |        123 |
| ios\Runner\Assets.xcassets\LaunchImage.imageset                                                                |          2 |         26 |          0 |          3 |         29 |
| ios\Runner\Base.lproj                                                                                          |          2 |         61 |          2 |          2 |         65 |
| lib                                                                                                            |         11 |      1,900 |        805 |        149 |      2,854 |
| lib\data                                                                                                       |          1 |        131 |        299 |         39 |        469 |
| lib\domain                                                                                                     |          2 |         56 |          4 |         12 |         72 |
| lib\domain\entities                                                                                            |          2 |         56 |          4 |         12 |         72 |
| lib\ui                                                                                                         |          7 |      1,660 |        500 |         94 |      2,254 |
| lib\ui\lists                                                                                                   |          1 |        296 |        129 |         15 |        440 |
| lib\ui\splash_screen                                                                                           |          1 |          0 |         72 |         12 |         84 |
| linux                                                                                                          |          5 |         94 |         27 |         38 |        159 |
| linux\flutter                                                                                                  |          2 |          8 |          9 |         11 |         28 |
